Report ID,Question ID,Response Count,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Not Applicable,Mean,Standard Deviation
1,1,37,3,0,8,27,62,0,4.46,0.87
1,2,37,0,3,8,32,57,0,4.43,0.77
1,3,37,0,0,0,5,95,0,4.95,0.23
1,4,37,0,0,0,8,92,0,4.92,0.28
1,5,37,0,0,0,11,89,0,4.89,0.31
1,6,37,0,0,0,11,89,0,4.89,0.31
1,7,37,0,0,3,14,84,0,4.81,0.46
1,8,37,0,0,0,8,92,0,4.92,0.28
1,9,37,0,0,5,5,89,0,4.84,0.50
1,10,37,0,0,0,11,89,0,4.89,0.31
