Calendar ID,Question ID,Cluster,Mean,Standard Deviation
4,3,College,4.43,0.88
4,4,College,4.38,0.87
4,5,College,4.35,0.93
4,6,College,4.44,0.88
4,7,College,4.15,1.05
4,8,College,4.22,1.00
4,9,College,4.18,1.05
4,10,College,4.36,0.96
4,1,University,4.27,0.96
4,2,University,4.18,1.02
4,3,University,4.46,0.88
4,4,University,4.40,0.88
4,5,University,4.38,0.93
4,6,University,4.44,0.90
4,7,University,4.17,1.07
4,8,University,4.28,0.99
4,9,University,4.22,1.06
4,10,University,4.37,0.96
2,1,Department,4.22,0.98
2,2,Department,4.16,1.01
2,3,Department,4.30,0.96
2,4,Department,4.28,0.94
2,5,Department,4.26,0.98
2,6,Department,4.31,0.95
2,7,Department,4.07,1.1
2,8,Department,4.13,1.03
2,9,Department,4.09,1.09
2,10,Department,4.24,1.02
2,1,College,4.20,0.99
2,2,College,4.20,0.98
2,3,College,4.38,0.92
2,4,College,4.35,0.90
2,5,College,4.29,0.96
2,6,College,4.38,0.93
2,7,College,4.12,1.07
2,8,College,4.17,1.03
2,9,College,4.13,1.07
2,10,College,4.30,1.01
2,1,University,4.26,0.98
2,2,University,4.20,1.01
2,3,University,4.47,0.88
2,4,University,4.40,0.89
2,5,University,4.37,0.94
2,6,University,4.43,0.91
2,7,University,4.17,1.08
2,8,University,4.27,1.00
2,9,University,4.21,1.07
2,10,University,4.37,0.97
1,1,Department,4.19,1.00
1,2,Department,4.14,1.01
1,3,Department,4.23,1.00
1,4,Department,4.23,0.96
1,5,Department,4.21,1.01
1,6,Department,4.27,0.97
1,7,Department,4.02,1.14
1,8,Department,4.07,1.08
1,9,Department,4.00,1.15
1,10,Department,4.17,1.07
1,1,College,4.16,1.02
1,2,College,4.09,1.04
1,3,College,4.37,0.92
1,4,College,4.32,0.90
1,5,College,4.27,0.98
1,6,College,4.37,0.93
1,7,College,4.06,1.11
1,8,College,4.14,1.04
1,9,College,4.07,1.11
1,10,College,4.27,1.03
1,1,University,4.22,0.99
1,2,University,4.14,1.03
1,3,University,4.44,0.89
1,4,University,4.37,0.89
1,5,University,4.34,0.95
1,6,University,4.42,0.90
1,7,University,4.12,1.08
1,8,University,4.24,1.00
1,9,University,4.17,1.07
1,10,University,4.34,0.98
