Year,Season,Section,Top Hat,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Hello Jack,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Project #11,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9,9,9,10,9,8,10,10,10,66,64,46,4
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,0,2,0,0,0,2,0,2,2,2,0,0,2,2,2,2,0,0,2,2,0,0,10,10,10,9,8,10,10,10,10,10,10,81,92,88,4
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,0,0,2,2,2,0,0,0,0,2,0,0,2,2,2,0,0,0,2,2,0,7,9,10,9,7,10,0,7,10,10,10,63,45,50,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9,9,10,10,10,10,10,12,10,82,89,88,4
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,8,7,10,10,10,9,10,9,10,12,10,84,91,82,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,9,10,10,12,9,87,92,86,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,8,8,7,10,9,7,5,5,9,65,62,59,4
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,7,9,7,10,10,9,10,11,10,79,82,68,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,8,10,9,10,10,10,8,10,10,10,10,87,75,81,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,9,10,7,8,10,8,3,46,62,51,3
8/15/2019,4457 | CSE 2221: DL 357 10:15 - 11:15,,,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,7,10,9,7,9,10,10,10,10,12,10,95,95,78,4
