Year,Season,Section,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Homework #23,Activity #36,Homework #24,Homework #25,Homework #26,Homework #27,Homework #28,Homework #29,Homework #30,Homework #31,Homework #32,Activity #46,Homework #33,Activity #48,Homework #34,Homework #35,Homework #36,Homework #37,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
2023,Autumn,12415,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,9.5,9.5,10,8,10,9,10,7,100,91,79,4
2023,Autumn,12415,13,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,0.5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,10,10,10,10,10,10,10,8.5,10,8,101,100,94.46,4
2023,Autumn,12415,8,2,1,2,2,2,2,2,2,1.75,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,3,9.25,9.25,9.5,10,9.5,10,7.5,9.25,8.25,100,81.6,71,4
2023,Autumn,12415,40,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,9.75,9.5,10,10,9.5,10,10,10,9.5,10,100,100,96,4
2023,Autumn,12415,4,2,2,2,2,2,2,2,2,0,2,2,2,1.5,0,1.5,2,2,2,0,2,0,2,2,2,0,2,2,0,0,2,2,2,1.5,2,0,2,0,0,0,2,10,9.25,9.25,9.5,10,9.5,10,7.5,9.25,8.25,100,99,96,4
2023,Autumn,12415,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0,0,2,0,2,2,0,0,0,2,2,2,2,2,2,2,9,10,10,10,10,9.5,10,9,10,9.25,83,100,82.46,4
2023,Autumn,12415,41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,9.5,10,10,100,100,96,4
2023,Autumn,12415,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,10,9.5,8,9.5,9.75,10,10,7.5,9.5,9.5,100,79,66.69,4
2023,Autumn,12415,8,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,1,2,1.5,1,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,8.5,10,8,78,67.86,60.23,3
2023,Autumn,12415,5,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,9,9.5,10,10,9.5,10,10,10,9.5,10,69,64,0,1
2023,Autumn,12415,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,9.5,9,10,9.5,10,10,8.75,9.75,8,100,74,81,4
